gbn,gid,geometry,zoneName,공동주택,공원,기타,녹지,단독주택,도로,상업,하천,거주인구,사업체당종사자수,ALL_AADT,유동인구,가중혼잡도,녹지면적,예측_탄소배출량(통합),예측_탄소배출량(수송),예측_탄소흡수량
경기도 광명시,다사422402,"POLYGON ((126.8464396143809 37.45919659102358, 126.84643176983988 37.460097905069794, 126.84756244358081 37.460104153059326, 126.84757027455309 37.45920283881081, 126.8464396143809 37.45919659102358))",광명시흥 공공주택지구,0.0,0.9684464138110502,0.0,0.0,0.0,0.03155358618894974,0.0,0.0,0.0,0.0,1568.9,2.9,1.3,4042.2,0.0,3.08,10.41
경기도 광명시,다사424402,"POLYGON ((126.84870093507406 37.45920907578135, 126.84869311767052 37.46011039023182, 126.84982379210838 37.46011661658727, 126.84983159594317 37.45921530193518, 126.84870093507406 37.45920907578135))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사429405,"POLYGON ((126.85433099317459 37.46194404433074, 126.85432324257947 37.462845359368195, 126.85545395945915 37.462851532237806, 126.85546169648363 37.461950217000485, 126.85433099317459 37.46194404433074))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사429402,"POLYGON ((126.85435424288892 37.459240098383276, 126.85434649332927 37.46014141383827, 126.85547716949885 37.46014758610829, 126.8554849054897 37.45924627045342, 126.85435424288892 37.459240098383276))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사429403,"POLYGON ((126.85434649332927 37.46014141383827, 126.8543387434245 37.46104272915411, 126.85546943316352 37.461048901623975, 126.85547716949885 37.46014758610829, 126.85434649332927 37.46014141383827))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사425403,"POLYGON ((126.84982379210838 37.46011661658727, 126.84981598792601 37.46101793110015, 126.85094667628078 37.46102414683978, 126.85095446689378 37.46012283212565, 126.84982379210838 37.46011661658727))",광명시흥 공공주택지구,0.0,0.37799887271323684,0.0,0.0,0.0,0.6220011272867633,0.0,0.0,0.0,0.0,63287.5,4.4,7.8,4183.6,0.0,623.1,10.78
경기도 광명시,다사426403,"POLYGON ((126.85095446689378 37.46012283212565, 126.85094667628078 37.46102414683978, 126.85207736498253 37.461030351762, 126.85208514202614 37.46012903684694, 126.85095446689378 37.46012283212565))",광명시흥 공공주택지구,0.0,0.1412059129239381,0.5036621033821511,0.0,0.0,0.3551319836939109,0.0,0.0,0.0,0.7,31110.6,4.0,8.6,19.8,0.0,197.8,0.07
경기도 광명시,다사425404,"POLYGON ((126.84981598792601 37.46101793110015, 126.84980818339608 37.46191924547382, 126.85093888532084 37.46192546141473, 126.85094667628078 37.46102414683978, 126.84981598792601 37.46101793110015))",광명시흥 공공주택지구,0.0,0.19487022004449397,0.40995116835648077,0.0,0.0,0.3951786115990253,0.0,0.0,0.0,0.2,29680.6,3.7,8.0,225.9,0.0,139.37,0.6
경기도 광명시,다사425402,"POLYGON ((126.84983159594317 37.45921530193518, 126.84982379210838 37.46011661658727, 126.85095446689378 37.46012283212565, 126.85096225715982 37.45922151727231, 126.84983159594317 37.45921530193518))",광명시흥 공공주택지구,0.0,0.7916104138182278,0.0,0.0,0.0,0.20838958618177222,0.0,0.0,0.0,0.2,19707.2,4.6,2.9,830.7,0.0,46.78,2.16
경기도 광명시,다사411405,"POLYGON ((126.83397839322106 37.4618310864405, 126.8339703983572 37.4627323978204, 126.83510110893108 37.46273876541526, 126.83510909022462 37.461837453829176, 126.83397839322106 37.4618310864405))",광명시흥 공공주택지구,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.2,0.9,0.0,4.2,1.8,0.0,0.0,13.96,0.02
경기도 광명시,다사412406,"POLYGON ((126.83510110893108 37.46273876541526, 126.8350931272821 37.46364007686207, 126.83622385178242 37.46364643384477, 126.83623181986044 37.46274512219212, 126.83510110893108 37.46273876541526))",광명시흥 공공주택지구,0.8312907940050863,0.0,0.0,0.0,0.0,0.16870920599491374,0.0,0.0,400.6,0.9,5734.7,4.4,1.8,0.0,0.0,15.57,0.02
경기도 광명시,다사412405,"POLYGON ((126.83510909022462 37.461837453829176, 126.83510110893108 37.46273876541526, 126.83623181986044 37.46274512219212, 126.83623978758362 37.461843810400225, 126.83510909022462 37.461837453829176))",광명시흥 공공주택지구,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.2,0.9,0.0,4.2,1.8,0.0,0.0,13.96,0.02
경기도 광명시,다사410403,"POLYGON ((126.83286371237203 37.46002208546962, 126.83285570465111 37.46092339692154, 126.83398638772888 37.46092977492133, 126.83399438188069 37.46002846326288, 126.83286371237203 37.46002208546962))",광명시흥 공공주택지구,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.9,0.9,0.0,4.2,1.8,0.0,0.0,13.96,0.02
경기도 광명시,다사410404,"POLYGON ((126.83285570465111 37.46092339692154, 126.83284769657354 37.461824708234204, 126.83397839322106 37.4618310864405, 126.83398638772888 37.46092977492133, 126.83285570465111 37.46092339692154))",광명시흥 공공주택지구,0.9557533496310213,0.0,0.0,0.04424665036897861,0.0,0.0,0.0,0.0,439.7,1.0,0.0,4.3,1.8,0.0,0.0,13.96,0.02
경기도 광명시,다사410405,"POLYGON ((126.83284769657354 37.461824708234204, 126.83283968813934 37.462726019407576, 126.8339703983572 37.4627323978204, 126.83397839322106 37.4618310864405, 126.83284769657354 37.461824708234204))",광명시흥 공공주택지구,0.9495369077708471,0.0,0.0,0.05046309222915299,0.0,0.0,0.0,0.0,504.5,1.0,0.0,4.5,1.8,0.0,0.0,13.96,0.02
경기도 광명시,다사427355,"POLYGON ((126.85245803311652 37.41686575725607, 126.85245027267915 37.417767078850986, 126.85358031107705 37.41777326333419, 126.85358805797397 37.41687194153893, 126.85245803311652 37.41686575725607))",광명시흥 공공주택지구,0.0,0.0,0.9824810797176314,0.0,0.0,0.01751892028236854,0.0,0.0,0.0,0.6,927.4,3.3,1.7,0.0,0.0,21.67,0.02
경기도 광명시,다사426355,"POLYGON ((126.85132800860463 37.416859562172924, 126.85132023462685 37.41776088356717, 126.85245027267915 37.417767078850986, 126.85245803311652 37.41686575725607, 126.85132800860463 37.416859562172924))",광명시흥 공공주택지구,0.0,0.0,0.510076191868037,0.0,0.0,0.2519176799216568,0.23800612821030634,0.0,0.0,0.7,24710.7,13.4,4.6,0.0,0.0,93.37,0.02
경기도 광명시,다사424352,"POLYGON ((126.84909136171144 37.41414317579544, 126.84908356169497 37.41504449720472, 126.85021355843497 37.41505071348565, 126.85022134491287 37.414149391875, 126.84909136171144 37.41414317579544))",광명시흥 공공주택지구,0.0,0.24457282189790636,0.0,0.0,0.0,0.35273023703632855,0.0,0.40269694106576504,0.0,0.0,36507.4,3.8,6.9,131.7,0.0,517.62,0.36
경기도 광명시,다사422353,"POLYGON ((126.84682356925762 37.415032032244206, 126.84681574181548 37.41593335311053, 126.84794575139931 37.41593959119263, 126.84795356530232 37.41503827012422, 126.84682356925762 37.415032032244206))",광명시흥 공공주택지구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1.9,1.5,0.0,0.0,8.11,0.02
경기도 광명시,다사424353,"POLYGON ((126.84908356169497 37.41504449720472, 126.84907576133114 37.415945818474846, 126.85020577161032 37.41595203495714, 126.85021355843497 37.41505071348565, 126.84908356169497 37.41504449720472))",광명시흥 공공주택지구,0.0,0.0,0.0,0.0,0.0,0.25479080165861523,0.0,0.7452091983413848,0.0,0.0,13552.4,3.9,2.3,1.6,0.0,38.02,0.02
경기도 광명시,다사423353,"POLYGON ((126.84795356530232 37.41503827012422, 126.84794575139931 37.41593959119263, 126.84907576133114 37.415945818474846, 126.84908356169497 37.41504449720472, 126.84795356530232 37.41503827012422))",광명시흥 공공주택지구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1.9,1.5,0.0,0.0,8.11,0.02
