year,adm_cd,adm_nm,bn_cd,bn_nm,cnt
2019,25020570,석교동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",164
2019,25020580,대사동,cp_bnu_003,제조업,22
2019,25020580,대사동,cp_bnu_006,건설업,18
2019,25020580,대사동,cp_bnu_007,도매 및 소매업,147
2019,25020580,대사동,cp_bnu_008,운수 및 창고업,5
2019,25020580,대사동,cp_bnu_009,숙박 및 음식점업,171
2019,25020580,대사동,cp_bnu_010,정보통신업,5
2019,25020580,대사동,cp_bnu_011,금융 및 보험업,9
2019,25020580,대사동,cp_bnu_012,부동산업,18
2019,25020580,대사동,cp_bnu_013,"전문, 과학 및 기술 서비스업",12
2019,25020580,대사동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",14
2019,25020580,대사동,cp_bnu_016,교육 서비스업,19
2019,25020580,대사동,cp_bnu_017,보건업 및 사회복지 서비스업,18
2019,25020580,대사동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",18
2019,25020580,대사동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",124
2019,25020590,부사동,cp_bnu_003,제조업,44
2019,25020590,부사동,cp_bnu_006,건설업,36
2019,25020590,부사동,cp_bnu_007,도매 및 소매업,214
2019,25020590,부사동,cp_bnu_008,운수 및 창고업,5
2019,25020590,부사동,cp_bnu_009,숙박 및 음식점업,137
2019,25020590,부사동,cp_bnu_010,정보통신업,5
2019,25020590,부사동,cp_bnu_011,금융 및 보험업,7
2019,25020590,부사동,cp_bnu_012,부동산업,17
2019,25020590,부사동,cp_bnu_013,"전문, 과학 및 기술 서비스업",12
2019,25020590,부사동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",20
2019,25020590,부사동,cp_bnu_016,교육 서비스업,19
2019,25020590,부사동,cp_bnu_017,보건업 및 사회복지 서비스업,46
2019,25020590,부사동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",31
2019,25020590,부사동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",105
2019,25020600,용두동,cp_bnu_003,제조업,45
2019,25020600,용두동,cp_bnu_006,건설업,29
2019,25020600,용두동,cp_bnu_007,도매 및 소매업,299
2019,25020600,용두동,cp_bnu_008,운수 및 창고업,7
2019,25020600,용두동,cp_bnu_009,숙박 및 음식점업,118
2019,25020600,용두동,cp_bnu_010,정보통신업,11
2019,25020600,용두동,cp_bnu_011,금융 및 보험업,14
2019,25020600,용두동,cp_bnu_012,부동산업,43
2019,25020600,용두동,cp_bnu_013,"전문, 과학 및 기술 서비스업",22
2019,25020600,용두동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",25
2019,25020600,용두동,cp_bnu_016,교육 서비스업,57
2019,25020600,용두동,cp_bnu_017,보건업 및 사회복지 서비스업,41
2019,25020600,용두동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",17
2019,25020600,용두동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",147
2019,25020620,오류동,cp_bnu_003,제조업,25
2019,25020620,오류동,cp_bnu_006,건설업,23
2019,25020620,오류동,cp_bnu_007,도매 및 소매업,283
2019,25020620,오류동,cp_bnu_008,운수 및 창고업,27
2019,25020620,오류동,cp_bnu_009,숙박 및 음식점업,324
2019,25020620,오류동,cp_bnu_010,정보통신업,24
2019,25020620,오류동,cp_bnu_011,금융 및 보험업,39
2019,25020620,오류동,cp_bnu_012,부동산업,41
2019,25020620,오류동,cp_bnu_013,"전문, 과학 및 기술 서비스업",37
2019,25020620,오류동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",46
2019,25020620,오류동,cp_bnu_016,교육 서비스업,33
2019,25020620,오류동,cp_bnu_017,보건업 및 사회복지 서비스업,79
2019,25020620,오류동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",54
2019,25020620,오류동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",117
2019,25020630,태평1동,cp_bnu_003,제조업,44
2019,25020630,태평1동,cp_bnu_006,건설업,35
2019,25020630,태평1동,cp_bnu_007,도매 및 소매업,217
2019,25020630,태평1동,cp_bnu_009,숙박 및 음식점업,140
2019,25020630,태평1동,cp_bnu_010,정보통신업,5
2019,25020630,태평1동,cp_bnu_011,금융 및 보험업,6
2019,25020630,태평1동,cp_bnu_012,부동산업,25
2019,25020630,태평1동,cp_bnu_013,"전문, 과학 및 기술 서비스업",7
2019,25020630,태평1동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",8
2019,25020630,태평1동,cp_bnu_016,교육 서비스업,50
2019,25020630,태평1동,cp_bnu_017,보건업 및 사회복지 서비스업,52
2019,25020630,태평1동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",28
2019,25020630,태평1동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",114
2019,25020640,태평2동,cp_bnu_003,제조업,21
2019,25020640,태평2동,cp_bnu_006,건설업,24
2019,25020640,태평2동,cp_bnu_007,도매 및 소매업,204
2019,25020640,태평2동,cp_bnu_008,운수 및 창고업,8
2019,25020640,태평2동,cp_bnu_009,숙박 및 음식점업,92
2019,25020640,태평2동,cp_bnu_012,부동산업,35
2019,25020640,태평2동,cp_bnu_013,"전문, 과학 및 기술 서비스업",11
2019,25020640,태평2동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",11
2019,25020640,태평2동,cp_bnu_016,교육 서비스업,47
2019,25020640,태평2동,cp_bnu_017,보건업 및 사회복지 서비스업,42
2019,25020640,태평2동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",17
2019,25020640,태평2동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",89
2019,25020650,유천1동,cp_bnu_003,제조업,27
2019,25020650,유천1동,cp_bnu_006,건설업,46
2019,25020650,유천1동,cp_bnu_007,도매 및 소매업,227
2019,25020650,유천1동,cp_bnu_009,숙박 및 음식점업,325
2019,25020650,유천1동,cp_bnu_011,금융 및 보험업,6
2019,25020650,유천1동,cp_bnu_012,부동산업,29
2019,25020650,유천1동,cp_bnu_013,"전문, 과학 및 기술 서비스업",11
2019,25020650,유천1동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",14
2019,25020650,유천1동,cp_bnu_016,교육 서비스업,73
2019,25020650,유천1동,cp_bnu_017,보건업 및 사회복지 서비스업,29
2019,25020650,유천1동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",66
2019,25020650,유천1동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",140
2019,25020660,유천2동,cp_bnu_003,제조업,34
